benchmark,dimension,seed,true_eval_num,strategy_before,strategy_used,strategy_after,candidate_pred,true_fitness,current_best_after,improved,rejected_by_niche,niche_min_distance,niche_threshold,pred_mq,pred_tps,pred_gaussian
Ellipsoid,10,42,45,1,LCB-GPR,2,-356109.85508353973,961.2705403951345,3.1912787172651944,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,46,2,Global-RBF,3,-7.674893077797833,21.166689452851166,3.1912787172651944,False,False,1.3628770264556218,0.0031622776601683794,8.381705984965834,14.141970892579025,-7.674893077793854
Ellipsoid,10,42,46,3,Local-RBF,1,-27.29052724024144,,3.1912787172651944,False,True,0.0,0.0031622776601683794,1.4917118118348043,-27.29052724024144,7.986561496381392
Ellipsoid,10,42,47,1,LCB-GPR,2,-309656.14217189036,1019.7838971152416,3.1912787172651944,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,48,2,Global-RBF,3,0.02410256520306575,4.823450171781708,3.1912787172651944,False,False,0.6973494970841605,0.0031622776601683794,2.6904309795012296,3.2526495606190338,0.024102565210455396
Ellipsoid,10,42,49,3,Local-RBF,1,-298.9740563202341,425.12533047020946,3.1912787172651944,False,False,7.989610548578533,0.0031622776601683794,2.3178770208558017,-298.9740563202339,4.7007748771052515
Ellipsoid,10,42,50,1,LCB-GPR,2,-307153.2667308123,1056.7934976757606,3.1912787172651944,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,51,2,Global-RBF,3,0.6306269621327374,3.8551335530080957,3.1912787172651944,False,False,0.744489860778017,0.0031622776601683794,2.4712961196319156,3.98119999380674,0.6306269621327374
Ellipsoid,10,42,52,3,Local-RBF,1,-1524.188229368063,899.7893341730557,3.1912787172651944,False,False,9.474092096789358,0.0031622776601683794,2.371509995771945,-1524.1882293680662,4.5316466122858206
Ellipsoid,10,42,53,1,LCB-GPR,2,-298895.92521696846,1037.189044405918,3.1912787172651944,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,54,2,Global-RBF,2,1.6268750831656007,1.1463152814627433,1.1463152814627433,True,False,0.47816922512616267,0.0031622776601683794,1.6268750831649186,2.756262095679631,3.374226126751182
Ellipsoid,10,42,55,2,Global-RBF,3,-1.856621138463879,3.840048505365604,1.1463152814627433,False,False,0.7668599110064522,0.0031622776601683794,3.0848742756352294,5.214913481740609,-1.8566211384465987
Ellipsoid,10,42,55,3,Local-RBF,1,1.1463151759025942,,1.1463152814627433,False,True,0.0,0.0031622776601683794,1.1463151759025942,1.1463152804885275,1.1463153352637896
